Senior Citizen,Partner,Dependents,Tenure Months,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV
No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.1,8.432081593533118,0,3029
No,No,No,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.9,7.063993204979744,0,4667
No,No,No,51,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.6,35.586514299661324,0,4886
No,No,No,52,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,30.1,40.29143829649173,0,6290
No,No,No,51,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),83.4,64.4162246642878,0,4191
No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,4.522167621838006,0,5384
No,Yes,No,31,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.25,48.42003717470692,0,4258
No,No,No,47,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.55,31.828446396266344,0,3313
Yes,No,No,22,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.05,20.42057785666214,0,4327
No,Yes,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,4.544227107000705,0,4517
No,Yes,No,72,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,79.47452422002915,0,6322
Yes,Yes,Yes,47,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),84.95,63.38809036404236,0,3384
No,Yes,No,72,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),66.5,69.36569757452166,0,4397
No,Yes,No,66,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,64.72789197865167,0,4186
No,No,No,35,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,83.15,53.3708722057266,0,2332
No,No,No,29,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.9,50.161738406877404,0,4388
No,No,No,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.55,5.796550698475776,0,5629
No,No,No,4,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,14.437797615980077,0,3272
No,No,No,65,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,59.6,61.15390420897099,0,4372
Yes,No,No,27,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.65,54.4426303552648,0,3104
No,Yes,No,29,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,47.57520362541815,0,4910
No,Yes,Yes,29,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),80.1,47.029777800878456,0,4558
No,Yes,No,20,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,81.0,41.03291361821629,0,4741
No,No,No,58,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.7,38.97435053981015,0,5138
No,No,Yes,14,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.0,34.11817697357231,0,5494
No,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.4,41.36302696853798,0,5512
No,No,No,46,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.15,65.15788517132827,0,5593
No,Yes,No,71,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,64.38866359849379,0,5224
No,No,No,32,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.65,51.616857711410525,0,2383
No,No,No,26,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.35,35.742132001323036,0,2510
Yes,Yes,No,68,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.35,74.76162117022344,0,5581
No,Yes,No,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,5.894913061275798,0,3866
No,Yes,No,61,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.55,36.13793021189786,0,4446
Yes,Yes,No,9,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.25,14.3020977482326,0,2302
No,No,No,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.25,24.615036055224458,0,5676
No,Yes,Yes,5,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.85,18.870612072744223,0,5109
No,No,No,65,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),74.2,69.32279567357335,0,4774
No,No,No,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,9.630680142129112,0,2303
No,Yes,Yes,25,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,43.601032097875844,0,5985
No,Yes,No,72,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),79.05,75.70138704145387,0,4689
No,Yes,No,27,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.15,49.22804078977753,0,5750
No,Yes,Yes,32,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),50.6,40.662636412313454,0,3087
No,No,No,30,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),110.45,57.68058598870161,0,4983
No,Yes,No,70,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.0,84.17541208690338,0,5025
Yes,No,No,42,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35,57.82819381581963,0,2399
Yes,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.85,81.83733866640581,0,5881
No,No,No,47,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,65.0,53.664699756916555,0,3286
No,No,No,2,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.45,11.708970919769166,0,5602
No,Yes,No,61,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.1,39.390354149207646,0,5970
No,No,No,5,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.05,14.21794640586326,0,5846
Yes,Yes,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,88.78203647134931,0,5933
Yes,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,90.53397152450565,0,6268
Yes,No,No,3,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,75.05,14.244297104455523,0,3545
No,Yes,No,48,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.25,29.24209294835101,0,2282
No,No,No,63,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),90.05,76.26925986267338,0,4039
No,No,No,27,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,56.7,40.65648779715237,0,4472
No,Yes,No,70,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),80.15,74.83414995842473,0,5715
No,Yes,Yes,7,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.35,22.71012989835153,0,3459
No,No,No,0,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.25,47.783888498112,0,5504
No,Yes,No,2,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,13.80217374184226,0,5361
No,No,No,66,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,35.409038394172754,0,4601
No,No,No,3,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,7.563068160475615,0,5634
No,Yes,No,72,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),90.35,81.01481346025552,0,5794
No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,4.560701700396552,0,3678
No,Yes,No,72,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),66.85,68.98405612893461,0,6264
No,Yes,No,65,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,35.952746765720136,0,6312
No,No,No,11,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.8,19.056494955788693,0,2534
No,No,No,22,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.85,40.00312487793922,0,2444
No,No,No,14,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.4,16.60421633200435,0,5068
No,No,No,41,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,55.579672543115976,0,3277
No,Yes,No,17,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,64.8,34.2870237845165,0,3546
No,No,No,11,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.45,15.404544783926593,0,2642
No,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),110.65,89.8089639178629,0,4259
No,Yes,Yes,3,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,40.3,9.617692030835672,0,5651
No,Yes,No,59,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),107.0,78.43659860039827,0,4620
No,Yes,No,71,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),73.35,71.79484661171719,0,5124
No,Yes,Yes,5,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.8,14.847558721890948,0,2492
No,Yes,Yes,27,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75,38.862578401336165,0,3519
No,No,No,63,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),40.6,50.88172559966888,0,6406
No,Yes,No,72,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.3,63.11576665144772,0,6259
No,Yes,No,34,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),60.85,44.76159067772279,0,3012
No,Yes,No,24,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,78.4,42.806541556168725,0,2506
No,No,No,72,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65,70.05890378816957,0,4262
No,Yes,No,60,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.85,59.91827767885189,0,5790
No,No,No,68,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),76.9,70.87312607751969,0,5355
No,Yes,No,8,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.85,12.10784869413225,0,3260
No,No,No,34,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.65,48.3663105890867,0,4263
No,No,No,6,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),45.0,17.28293956478469,0,2270
No,Yes,No,2,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.2,11.985407794480754,0,4369
No,No,No,31,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),81.7,50.48415593035106,0,4850
No,Yes,Yes,20,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.55,22.525541058984576,0,3235
No,Yes,Yes,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,4.47213595499958,0,2358
Yes,Yes,No,70,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,73.56221856360777,0,4181
No,Yes,No,39,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.8,30.063266622241834,0,3970
No,Yes,No,46,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),64.2,54.85890994177701,0,4699
No,Yes,No,72,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,73.94896889071543,0,5120
No,No,No,18,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,32.52844908691467,0,2110
No,Yes,No,71,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.55,87.26969691708571,0,4111
No,Yes,No,42,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.25,33.28963802747035,0,3052
No,Yes,No,34,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),30.4,30.63739545065801,0,4697
Yes,No,No,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,9.703092290605094,0,2154
No,No,No,25,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.6,45.69518574204508,0,4874
No,Yes,Yes,55,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,75.21136882147539,0,5892
No,Yes,No,70,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),88.0,77.37215261319798,0,4867
No,Yes,No,61,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,82.16659905338665,0,5632
No,Yes,No,43,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.15,59.721018075716024,0,3716
No,No,No,47,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.1,69.9235296591927,0,5029
No,No,No,5,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.95,17.835358140502816,0,3099
No,No,No,62,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.8,39.54680770934615,0,6201
No,Yes,Yes,14,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.55,19.298963702748395,0,2080
No,Yes,Yes,34,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,44.85,37.98157448026608,0,5569
No,Yes,Yes,38,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.05,31.04754418629596,0,3772
No,Yes,No,70,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),74.1,72.2654827701303,0,6325
No,Yes,Yes,37,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,57.79749129503806,0,3746
Yes,Yes,Yes,60,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.25,75.99045992754617,0,4353
No,Yes,No,62,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),71.4,66.9873122314965,0,5327
No,No,No,36,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.2,53.43173214485939,0,4830
No,No,No,44,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,30.092357833842133,0,2404
No,Yes,No,72,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),105.0,87.1194582168645,0,5678
No,No,No,13,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.85,19.85195204507607,0,2444
No,Yes,No,15,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.55,17.20319737723194,0,3009
No,No,No,65,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.85,73.88639928972043,0,5434
No,Yes,No,12,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),33.15,21.08909670896314,0,3882
No,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.0,82.35380986936791,0,5883
No,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.8,80.68735960483525,0,5762
No,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.8,92.06790971885916,0,5841
No,No,No,52,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,85.15,66.79708077453685,0,4322
No,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.85,7.874007874011811,0,5983
No,No,No,5,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,64.35,18.778977607952996,0,4771
No,No,No,68,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,37.747847620758456,0,4201
No,No,No,72,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.05,79.43330535738771,0,5965
No,Yes,No,66,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,89.0,76.8023437142383,0,4488
No,Yes,No,72,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.8,68.70043667983487,0,4036
No,No,No,26,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,21.384573879317774,0,5823
No,Yes,Yes,64,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),93.4,76.3039972740616,0,6249
No,Yes,No,62,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),39.0,48.34718192407909,0,4987
No,No,No,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,10.21273714534943,0,5263
No,No,Yes,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.4,11.01135777277262,0,4315
No,Yes,No,72,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),98.2,83.76096943087514,0,4332
No,Yes,Yes,57,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.55,74.81978348003956,0,5833
No,No,Yes,66,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,35.624429819998525,0,6382
No,No,Yes,45,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),99.7,68.07606040305211,0,3333
No,No,No,3,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.8,10.674736530706507,0,2496
No,No,No,51,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),60.15,55.47071299343465,0,5404
No,No,No,60,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,64.75,63.55706097673177,0,6408
No,No,No,33,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.65,40.806862168022676,0,5201
Yes,No,No,26,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,22.454398232862978,0,2269
No,Yes,No,67,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.25,86.66977558526386,0,5649
No,Yes,No,49,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.8,42.21374183841087,0,4865
No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.05,4.4777226354476225,0,5368
Yes,No,No,7,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.35,24.69109151090733,0,2107
Yes,No,No,27,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),110.5,53.45652439132196,0,4997
No,Yes,Yes,37,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2,56.98727928231001,0,5263
No,Yes,Yes,31,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.3,53.131911315140925,0,2132
Yes,No,No,32,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),81.1,51.178608812667036,0,2143
No,Yes,No,63,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),81.2,70.4634657109626,0,6063
No,No,No,30,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.3,51.76581883830294,0,4219
No,Yes,No,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),116.1,91.16221805112028,0,5027
No,No,No,53,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,105.55,75.38070044779367,0,5731
No,Yes,No,50,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.4,70.1063477867732,0,5548
No,No,No,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,5.248809388804284,0,4836
No,Yes,No,56,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),105.6,77.90154042122658,0,4196
No,Yes,No,67,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),81.35,73.4751658725586,0,4219
No,No,No,4,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,56.4,15.324816475246939,0,5344
No,No,No,19,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.35,35.09772072371652,0,2051
No,No,Yes,8,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,13.072872675888801,0,5919
No,No,No,71,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.25,89.35407097608928,0,4361
Yes,No,No,15,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),89.0,35.892896233098824,0,4452
No,Yes,Yes,72,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.1,88.59176033920987,0,6283
No,No,No,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.05,16.34013463836819,0,4018
No,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.2,42.41344126571198,0,6499
Yes,No,No,23,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.4,40.54072026987187,0,2491
No,No,No,72,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),65.55,69.33577720051892,0,4266
No,No,No,26,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.7,46.82947789587238,0,4501
No,No,No,21,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,104.55,47.32229918336598,0,3471
No,Yes,No,60,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.15,38.80592738229561,0,4501
No,No,No,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.45,15.979674589928294,0,4883
No,Yes,No,16,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.4,34.487678959303715,0,5432
No,Yes,No,63,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),79.7,69.1820063311263,0,4010
Yes,No,No,22,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,81.7,42.672004874390424,0,5602
No,Yes,Yes,32,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),76.3,49.032132321570515,0,5324
No,Yes,Yes,68,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.75,83.90143026194488,0,4121
No,Yes,Yes,30,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,86.45,50.37906311157444,0,2923
No,No,No,16,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.1,34.82599603744306,0,5176
No,No,No,33,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),80.6,51.48883374091901,0,5542
No,Yes,No,72,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.3,36.122015447646326,0,4035
No,No,No,12,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,33.6,20.867438750359373,0,2990
Yes,Yes,No,4,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,17.551353224181888,0,5251
No,Yes,No,0,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,80.85,47.783888498112,0,2048
No,Yes,No,65,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),108.05,84.37357406202489,0,6047
No,No,No,15,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,17.901117283566407,0,3366
No,No,No,24,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.05,23.05536813846181,0,2050
No,No,Yes,13,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.15,19.54993606127652,0,3540
